epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.646393,0.3377,1.386065,0.6622,0.00010751,4.99
2,1.018634,0.6877,0.715836,0.7822,0.00018814,4.95
3,0.747961,0.7688,0.580815,0.8133,0.00026877,4.95
4,0.566148,0.829,0.437262,0.8711,0.00025858,5.0
5,0.40785,0.8833,0.46809,0.8444,0.00022956,4.96
6,0.396343,0.8783,0.458953,0.8578,0.00018612,4.92
7,0.314146,0.9101,0.390289,0.88,0.00013488,5.01
8,0.249435,0.9384,0.35201,0.9067,8.365e-05,4.96
9,0.254232,0.9341,0.383404,0.88,4.021e-05,4.95
10,0.215997,0.9406,0.369152,0.8889,1.119e-05,4.93
11,0.233904,0.9399,0.355667,0.8889,1e-06,4.97
