epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.705422,0.2761,1.44701,0.4978,0.00010548,5.73
2,1.275012,0.537,0.939122,0.6667,0.00018459,5.83
3,0.99979,0.6428,0.733646,0.7467,0.0002637,6.05
4,0.815034,0.7268,0.694654,0.7644,0.00026209,6.11
5,0.66024,0.7826,0.552729,0.8044,0.00025727,6.26
6,0.549567,0.837,0.530624,0.7822,0.00024939,5.84
7,0.447784,0.8667,0.525883,0.7911,0.00023862,5.95
8,0.380227,0.908,0.503373,0.8089,0.00022523,5.98
9,0.339368,0.9087,0.46548,0.8178,0.00020956,6.11
10,0.266087,0.9261,0.500438,0.8133,0.00019198,6.03
11,0.196921,0.95,0.470469,0.8133,0.00017294,6.01
12,0.168228,0.9529,0.444669,0.8267,0.0001529,5.77
13,0.179441,0.9572,0.490429,0.8178,0.00013235,5.96
14,0.124331,0.9688,0.454147,0.8178,0.0001118,5.98
15,0.107326,0.9775,0.471123,0.8178,9.176e-05,5.87
16,0.149202,0.9725,0.463466,0.8178,7.272e-05,5.72
17,0.088063,0.9855,0.468942,0.8311,5.515e-05,5.64
18,0.089706,0.9797,0.47064,0.8178,3.947e-05,5.63
19,0.130319,0.9841,0.471981,0.8133,2.609e-05,5.6
20,0.099706,0.987,0.455512,0.8222,1.532e-05,5.65
21,0.070572,0.992,0.469498,0.8311,7.43e-06,5.59
22,0.079049,0.9899,0.489232,0.8133,2.62e-06,5.94
23,0.074713,0.9862,0.462408,0.84,1e-06,6.24
