epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.613172,0.3543,1.387865,0.5733,8.652e-05,8.23
2,1.098826,0.6246,0.723274,0.7956,0.00015141,4.1
3,0.779065,0.7435,0.554015,0.8178,0.0002163,4.0
4,0.639021,0.7949,0.489563,0.8489,0.00021447,3.98
5,0.498989,0.842,0.475102,0.8489,0.00020903,3.97
6,0.414147,0.871,0.457993,0.8356,0.00020018,4.06
7,0.363286,0.8891,0.41864,0.8756,0.00018821,4.03
8,0.339225,0.8957,0.430141,0.8578,0.00017353,4.04
9,0.26699,0.9188,0.389389,0.8756,0.00015664,4.01
10,0.241146,0.9355,0.405244,0.8711,0.00013811,4.06
11,0.226667,0.929,0.393947,0.88,0.00011858,4.04
12,0.219759,0.9435,0.432694,0.8578,9.872e-05,4.05
13,0.18025,0.9572,0.388744,0.8889,7.919e-05,4.12
14,0.152553,0.9616,0.37364,0.8844,6.067e-05,4.08
15,0.147014,0.9616,0.385738,0.88,4.378e-05,4.01
16,0.126843,0.9725,0.364323,0.8978,2.91e-05,4.06
17,0.114647,0.9725,0.362319,0.8889,1.712e-05,4.06
18,0.117583,0.9717,0.364269,0.8889,8.27e-06,4.12
19,0.122368,0.9696,0.347802,0.8978,2.83e-06,4.08
20,0.117685,0.9746,0.354843,0.8844,1e-06,4.06
