epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.706519,0.2761,1.508216,0.5111,7.81e-05,8.22
2,1.230437,0.5754,0.964614,0.6,0.00013667,4.01
3,0.969408,0.6449,0.82089,0.6133,0.00019524,4.06
4,0.817215,0.7087,0.713539,0.7156,0.00019416,4.11
5,0.731205,0.7283,0.677052,0.7422,0.00019093,4.02
6,0.657464,0.7601,0.641775,0.7422,0.00018562,4.11
7,0.599155,0.7812,0.601857,0.7778,0.00017836,3.99
8,0.533907,0.8138,0.668257,0.7556,0.00016931,4.0
9,0.510534,0.8167,0.581011,0.7689,0.00015867,4.05
10,0.486073,0.8232,0.555998,0.8,0.00014668,4.0
11,0.422242,0.8609,0.604004,0.7689,0.0001336,4.05
12,0.363469,0.8754,0.564612,0.7911,0.00011973,3.98
13,0.331728,0.9,0.607548,0.7733,0.00010538,3.99
14,0.338572,0.8949,0.628095,0.7556,9.086e-05,4.1
15,0.277597,0.9188,0.601427,0.7867,7.651e-05,4.07
16,0.290877,0.9094,0.590066,0.8133,6.264e-05,4.03
17,0.25355,0.9203,0.609244,0.8,4.956e-05,4.05
18,0.240693,0.9377,0.612157,0.7867,3.757e-05,4.1
19,0.214901,0.942,0.61308,0.7822,2.693e-05,4.15
20,0.254547,0.9319,0.596085,0.7956,1.788e-05,4.06
21,0.219249,0.937,0.580946,0.8178,1.062e-05,4.08
22,0.197082,0.9457,0.571116,0.8133,5.31e-06,4.06
23,0.184667,0.9565,0.585489,0.8089,2.08e-06,4.12
24,0.199582,0.9507,0.581772,0.8089,1e-06,4.17
