epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.694217,0.2623,1.398142,0.4444,0.00010354,11.0
2,1.049757,0.6449,0.759914,0.7422,0.00018119,5.23
3,0.695775,0.7964,0.608006,0.8356,0.00025884,4.64
4,0.559208,0.8232,0.617201,0.7689,0.00025561,5.13
5,0.395441,0.8913,0.374279,0.9022,0.00024608,4.85
6,0.324032,0.9043,0.414366,0.8844,0.00023072,5.03
7,0.291996,0.9181,0.43644,0.8711,0.0002103,4.56
8,0.253201,0.9341,0.471364,0.88,0.00018586,4.76
9,0.185776,0.9507,0.342108,0.8889,0.00015861,4.44
10,0.168058,0.9565,0.374045,0.8933,0.00012992,4.53
11,0.200018,0.9442,0.369847,0.8978,0.00010123,4.78
12,0.178836,0.9507,0.340576,0.9022,7.398e-05,4.61
13,0.135745,0.9703,0.317434,0.9111,4.954e-05,5.07
14,0.114138,0.9732,0.314331,0.9156,2.913e-05,5.02
15,0.122463,0.9717,0.323538,0.9067,1.377e-05,4.89
16,0.104051,0.9746,0.324028,0.9067,4.23e-06,5.02
17,0.108962,0.9761,0.32677,0.9111,1e-06,4.73
