epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.644483,0.2964,1.422832,0.4578,8.93e-05,5.58
2,1.252853,0.5283,0.95805,0.6311,0.00015627,5.58
3,1.049914,0.6203,0.820436,0.6756,0.00022325,5.56
4,0.815871,0.7109,0.678466,0.72,0.00022156,5.7
5,0.703592,0.7732,0.612393,0.7467,0.00021655,5.78
6,0.576323,0.8116,0.505383,0.7778,0.00020836,5.63
7,0.488861,0.8572,0.528199,0.7689,0.00019725,5.74
8,0.452912,0.8775,0.567225,0.7689,0.00018355,5.7
9,0.335552,0.9007,0.550408,0.7822,0.00016769,6.01
10,0.290179,0.9225,0.523688,0.8178,0.00015013,5.66
11,0.267161,0.9283,0.560998,0.7822,0.00013142,6.04
12,0.235216,0.9384,0.517304,0.8,0.00011212,5.62
13,0.188362,0.9551,0.56004,0.8178,9.283e-05,5.81
14,0.215829,0.9471,0.525234,0.8044,7.412e-05,5.6
15,0.135827,0.9732,0.477692,0.8267,5.656e-05,5.73
16,0.155852,0.9732,0.509471,0.8267,4.069e-05,6.06
17,0.108874,0.9775,0.482506,0.8311,2.7e-05,5.91
18,0.099725,0.9812,0.475908,0.8311,1.589e-05,5.84
19,0.114758,0.9783,0.472136,0.8311,7.7e-06,5.73
20,0.104582,0.9826,0.529287,0.8267,2.69e-06,5.81
21,0.102331,0.9775,0.545117,0.8133,1e-06,5.89
