epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.630471,0.3435,1.396611,0.6444,7.9e-05,8.98
2,1.043401,0.6638,0.715203,0.7778,0.00013825,4.08
3,0.742067,0.7341,0.553823,0.7822,0.0001975,4.02
4,0.631173,0.7819,0.497252,0.8489,0.00019582,4.08
5,0.491123,0.8435,0.484777,0.8356,0.00019086,4.07
6,0.429191,0.8652,0.485066,0.8311,0.00018278,4.06
7,0.357575,0.8906,0.463004,0.84,0.00017185,4.2
8,0.338406,0.8913,0.434984,0.8533,0.00015846,4.18
9,0.269865,0.9116,0.439625,0.8711,0.00014304,4.26
10,0.265797,0.9167,0.430591,0.8533,0.00012613,4.08
11,0.219025,0.9326,0.448836,0.8444,0.00010831,4.05
12,0.196276,0.9457,0.430097,0.8533,9.018e-05,4.06
13,0.173579,0.9478,0.443087,0.8311,7.236e-05,4.04
14,0.164922,0.9558,0.459296,0.8311,5.546e-05,4.09
15,0.17388,0.9623,0.451806,0.8444,4.004e-05,4.08
16,0.116324,0.9761,0.430544,0.8711,2.664e-05,4.05
17,0.141812,0.9623,0.443727,0.8667,1.572e-05,4.05
18,0.112346,0.9732,0.437279,0.8622,7.63e-06,4.14
19,0.111107,0.9746,0.431688,0.8578,2.67e-06,4.08
