epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed
1,1.604091,0.3341,1.456764,0.5156,7.488e-05,9.7
2,1.193213,0.5732,0.922598,0.6044,0.00013105,4.17
3,0.902389,0.6746,0.791581,0.6444,0.00018721,4.13
4,0.809798,0.6826,0.709779,0.7022,0.00018594,4.07
5,0.715903,0.737,0.655543,0.7333,0.00018217,4.14
6,0.633566,0.7754,0.64278,0.7467,0.00017599,4.07
7,0.563395,0.792,0.61431,0.7422,0.00016758,4.15
8,0.557195,0.7928,0.602307,0.7689,0.00015716,4.45
9,0.502876,0.829,0.602526,0.7644,0.00014503,4.5
10,0.449184,0.8471,0.560575,0.8,0.00013151,4.51
11,0.447321,0.842,0.529242,0.8,0.00011696,4.48
12,0.386638,0.8739,0.537324,0.7956,0.00010179,4.53
13,0.331533,0.8928,0.544319,0.8,8.642e-05,4.54
14,0.313076,0.8928,0.542641,0.8133,7.125e-05,4.39
15,0.322014,0.9,0.560145,0.8044,5.671e-05,4.4
16,0.275588,0.9152,0.578637,0.7867,4.318e-05,4.08
17,0.247669,0.9304,0.586035,0.8044,3.105e-05,4.06
18,0.288153,0.9167,0.603895,0.8,2.063e-05,4.04
19,0.254177,0.9261,0.581351,0.8044,1.222e-05,4.13
20,0.223519,0.9428,0.572968,0.8089,6.04e-06,4.1
21,0.231141,0.9362,0.550855,0.8178,2.27e-06,4.17
22,0.278109,0.9101,0.568557,0.8,1e-06,4.23
