filename,color,true_level,pred_level,confidence,correct,error_gap
lvl5_Scanned_Documents_(118)_3_1_C_0002.png,C,5,2,0.6692,False,3
lvl5_Scanned_Documents_(118)_4_1_C_0004.png,C,5,3,0.367,False,2
lvl2_Scanned_Documents_(110)_1_1_C_0011.png,C,2,4,0.4463,False,2
lvl3_Scanned_Documents_(114)_12_1_C_0004.png,C,3,5,0.4746,False,2
lvl2_Scanned_Documents_(111)_1_1_C_0011.png,C,2,4,0.5159,False,2
lvl2_Scanned_Documents_(110)_3_1_C_0002.png,C,2,4,0.5215,False,2
lvl4_Scanned_Documents_(117)_2_1_C_0007.png,C,4,2,0.6613,False,2
lvl3_Scanned_Documents_(114)_12_1_C_0016.png,C,3,5,0.7484,False,2
lvl4_Scanned_Documents_(117)_7_1_C_0007.png,C,4,2,0.7517,False,2
lvl5_Scanned_Documents_(118)_6_1_C_0013.png,C,5,3,0.7538,False,2
lvl4_Scanned_Documents_(117)_7_1_C_0003.png,C,4,2,0.7569,False,2
lvl4_Scanned_Documents_(117)_5_1_C_0007.png,C,4,2,0.7719,False,2
lvl2_Scanned_Documents_(110)_1_1_C_0010.png,C,2,4,0.7855,False,2
lvl4_Scanned_Documents_(119)_10_1_C_0015.png,C,4,2,0.8223,False,2
lvl3_Scanned_Documents_(114)_10_1_C_0015.png,C,3,5,0.8805,False,2
lvl4_Scanned_Documents_(117)_3_1_C_0002.png,C,4,2,0.8896,False,2
lvl5_Scanned_Documents_(118)_6_1_C_0011.png,C,5,3,0.9301,False,2
lvl3_Scanned_Documents_(114)_10_1_C_0016.png,C,3,5,0.9635,False,2
lvl2_Scanned_Documents_(111)_1_1_C_0013.png,C,2,3,0.3401,False,1
lvl3_Scanned_Documents_(114)_10_1_C_0010.png,C,3,4,0.3458,False,1
lvl2_Scanned_Documents_(111)_1_1_C_0012.png,C,2,3,0.4073,False,1
lvl4_Scanned_Documents_(117)_1_1_C_0011.png,C,4,3,0.4189,False,1
lvl4_Scanned_Documents_(119)_10_1_C_0014.png,C,4,3,0.4238,False,1
lvl2_Scanned_Documents_(111)_1_1_C_0001.png,C,2,3,0.4245,False,1
lvl4_Scanned_Documents_(119)_10_1_C_0012.png,C,4,3,0.4409,False,1
