filename,color,true_level,pred_level,confidence,correct,error_gap
lvl5_Scanned_Documents_(118)_4_1_M_0001.png,M,5,2,0.8262,False,3
lvl5_Scanned_Documents_(118)_4_1_M_0004.png,M,5,2,0.8908,False,3
lvl5_Scanned_Documents_(118)_5_1_M_0016.png,M,5,3,0.3604,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0009.png,M,3,1,0.4902,False,2
lvl4_Scanned_Documents_(117)_5_1_M_0016.png,M,4,2,0.5006,False,2
lvl1_Scanned_Documents_(108)_17_1_M_0001.png,M,1,3,0.5201,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0015.png,M,3,1,0.5267,False,2
lvl1_Scanned_Documents_(108)_18_1_M_0007.png,M,1,3,0.5574,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0014.png,M,3,1,0.5595,False,2
lvl1_Scanned_Documents_(108)_16_1_M_0004.png,M,1,3,0.5614,False,2
lvl1_Scanned_Documents_(108)_14_1_M_0009.png,M,1,3,0.6213,False,2
lvl1_Scanned_Documents_(108)_17_1_M_0008.png,M,1,3,0.6675,False,2
lvl3_Scanned_Documents_(114)_20_1_M_0007.png,M,3,1,0.6846,False,2
lvl1_Scanned_Documents_(108)_10_1_M_0012.png,M,1,3,0.7087,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0012.png,M,3,1,0.734,False,2
lvl1_Scanned_Documents_(108)_16_1_M_0006.png,M,1,3,0.7341,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0005.png,M,3,1,0.7375,False,2
lvl3_Scanned_Documents_(114)_11_1_M_0016.png,M,3,1,0.7407,False,2
lvl1_Scanned_Documents_(108)_17_1_M_0013.png,M,1,3,0.7487,False,2
lvl1_Scanned_Documents_(108)_18_1_M_0006.png,M,1,3,0.7672,False,2
lvl1_Scanned_Documents_(108)_19_1_M_0015.png,M,1,3,0.7684,False,2
lvl1_Scanned_Documents_(108)_18_1_M_0010.png,M,1,3,0.7695,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0012.png,M,3,1,0.7908,False,2
lvl2_Scanned_Documents_(110)_9_1_M_0001.png,M,2,4,0.803,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0010.png,M,3,1,0.8071,False,2
lvl3_Scanned_Documents_(114)_22_1_M_0003.png,M,3,1,0.8102,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0015.png,M,3,1,0.8335,False,2
lvl1_Scanned_Documents_(108)_13_1_M_0016.png,M,1,3,0.8347,False,2
lvl1_Scanned_Documents_(108)_17_1_M_0012.png,M,1,3,0.8937,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0008.png,M,3,1,0.9117,False,2
lvl3_Scanned_Documents_(114)_21_1_M_0001.png,M,3,1,0.9613,False,2
lvl4_Scanned_Documents_(117)_7_1_M_0005.png,M,4,2,0.9767,False,2
lvl2_Scanned_Documents_(111)_20_1_M_0001.png,M,2,3,0.4182,False,1
lvl3_Scanned_Documents_(114)_1_1_M_0002.png,M,3,2,0.4745,False,1
lvl4_Scanned_Documents_(117)_4_1_M_0014.png,M,4,5,0.4915,False,1
lvl2_Scanned_Documents_(111)_20_1_M_0002.png,M,2,3,0.5066,False,1
lvl5_Scanned_Documents_(118)_4_1_M_0011.png,M,5,4,0.5341,False,1
lvl4_Scanned_Documents_(117)_3_1_M_0008.png,M,4,5,0.5833,False,1
lvl3_Scanned_Documents_(114)_14_1_M_0009.png,M,3,2,0.5855,False,1
lvl5_Scanned_Documents_(118)_5_1_M_0008.png,M,5,4,0.6081,False,1
lvl5_Scanned_Documents_(118)_2_1_M_0012.png,M,5,4,0.6155,False,1
lvl3_Scanned_Documents_(113)_3_1_M_0006.png,M,3,2,0.6248,False,1
lvl2_Scanned_Documents_(111)_20_1_M_0003.png,M,2,3,0.6449,False,1
lvl2_Scanned_Documents_(111)_19_1_M_0015.png,M,2,3,0.6928,False,1
lvl4_Scanned_Documents_(117)_3_1_M_0017.png,M,4,5,0.6941,False,1
lvl2_Scanned_Documents_(111)_1_1_M_0004.png,M,2,3,0.698,False,1
lvl4_Scanned_Documents_(119)_17_1_M_0001.png,M,4,3,0.7077,False,1
lvl4_Scanned_Documents_(117)_2_1_M_0006.png,M,4,5,0.7115,False,1
lvl4_Scanned_Documents_(117)_2_1_M_0007.png,M,4,5,0.7159,False,1
lvl4_Scanned_Documents_(117)_2_1_M_0002.png,M,4,5,0.7274,False,1
lvl2_Scanned_Documents_(111)_19_1_M_0005.png,M,2,3,0.7289,False,1
lvl4_Scanned_Documents_(117)_8_1_M_0015.png,M,4,5,0.7328,False,1
lvl5_Scanned_Documents_(118)_3_1_M_0008.png,M,5,4,0.8498,False,1
lvl3_Scanned_Documents_(114)_1_1_M_0001.png,M,3,2,0.8579,False,1
lvl5_Scanned_Documents_(118)_5_1_M_0012.png,M,5,4,0.8663,False,1
lvl5_Scanned_Documents_(118)_1_1_M_0011.png,M,5,4,0.8839,False,1
lvl4_Scanned_Documents_(117)_8_1_M_0006.png,M,4,5,0.9053,False,1
lvl4_Scanned_Documents_(117)_2_1_M_0016.png,M,4,5,0.9159,False,1
lvl4_Scanned_Documents_(117)_1_1_M_0009.png,M,4,5,0.9162,False,1
lvl4_Scanned_Documents_(117)_4_1_M_0016.png,M,4,5,0.934,False,1
lvl5_Scanned_Documents_(118)_5_1_M_0011.png,M,5,4,0.9522,False,1
lvl4_Scanned_Documents_(117)_1_1_M_0004.png,M,4,5,0.9807,False,1
