filename,color,true_level,pred_level,confidence,correct,error_gap
lvl2_Scanned_Documents_(110)_8_1_Y_0008.png,Y,2,5,0.4522,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0006.png,Y,5,2,0.4819,False,3
lvl1_Scanned_Documents_(107)_8_1_Y_0012.png,Y,1,4,0.5185,False,3
lvl1_Scanned_Documents_(107)_7_1_Y_0014.png,Y,1,4,0.5562,False,3
lvl5_Scanned_Documents_(118)_5_1_Y_0016.png,Y,5,2,0.559,False,3
lvl1_Scanned_Documents_(107)_4_1_Y_0016.png,Y,1,4,0.569,False,3
lvl2_Scanned_Documents_(110)_1_1_Y_0018.png,Y,2,5,0.6129,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0003.png,Y,2,5,0.62,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0001.png,Y,5,2,0.6597,False,3
lvl1_Scanned_Documents_(107)_2_1_Y_0015.png,Y,1,4,0.757,False,3
lvl5_Scanned_Documents_(118)_2_1_Y_0002.png,Y,5,2,0.8177,False,3
lvl5_Scanned_Documents_(118)_5_1_Y_0015.png,Y,5,2,0.8296,False,3
lvl5_Scanned_Documents_(118)_1_1_Y_0004.png,Y,5,2,0.8378,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0005.png,Y,2,5,0.8391,False,3
lvl1_Scanned_Documents_(107)_7_1_Y_0008.png,Y,1,4,0.8989,False,3
lvl5_Scanned_Documents_(118)_1_1_Y_0017.png,Y,5,2,0.9089,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0004.png,Y,2,5,0.9269,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0004.png,Y,5,2,0.9311,False,3
lvl1_Scanned_Documents_(107)_9_1_Y_0013.png,Y,1,4,0.9424,False,3
lvl4_Scanned_Documents_(119)_10_1_Y_0006.png,Y,4,1,0.9463,False,3
lvl1_Scanned_Documents_(107)_8_1_Y_0013.png,Y,1,4,0.981,False,3
lvl3_Scanned_Documents_(114)_12_1_Y_0016.png,Y,3,5,0.4002,False,2
lvl3_Scanned_Documents_(114)_14_1_Y_0003.png,Y,3,5,0.4008,False,2
