filename,color,true_level,pred_level,confidence,correct,error_gap
aug_dc0b80f1.png,K,0,5,0.6034,False,5
lvl5_Scanned_Documents_(118)_6_1_K_0011.png,K,5,0,0.6098,False,5
lvl4_Scanned_Documents_(117)_1_1_K_0004.png,K,4,0,0.952,False,4
lvl5_Scanned_Documents_(118)_4_1_Y_0016.png,Y,5,2,0.3231,False,3
lvl2_Scanned_Documents_(111)_1_1_C_0012.png,C,2,5,0.3539,False,3
lvl2_Scanned_Documents_(110)_8_1_Y_0008.png,Y,2,5,0.3693,False,3
lvl5_Scanned_Documents_(118)_5_1_Y_0001.png,Y,5,2,0.3765,False,3
lvl2_Scanned_Documents_(111)_1_1_K_0013.png,K,2,5,0.4023,False,3
lvl5_Scanned_Documents_(118)_6_1_Y_0001.png,Y,5,2,0.4059,False,3
lvl5_Scanned_Documents_(118)_1_1_Y_0004.png,Y,5,2,0.4192,False,3
lvl4_Scanned_Documents_(119)_10_1_Y_0007.png,Y,4,1,0.4342,False,3
lvl5_Scanned_Documents_(118)_3_1_Y_0001.png,Y,5,2,0.4701,False,3
lvl4_Scanned_Documents_(119)_10_1_Y_0008.png,Y,4,1,0.4891,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0012.png,Y,5,2,0.4993,False,3
lvl5_Scanned_Documents_(118)_3_1_K_0002.png,K,5,2,0.5003,False,3
lvl5_Scanned_Documents_(118)_2_1_Y_0002.png,Y,5,2,0.5341,False,3
lvl4_Scanned_Documents_(117)_9_1_Y_0013.png,Y,4,1,0.551,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0006.png,Y,5,2,0.56,False,3
lvl5_Scanned_Documents_(118)_5_1_Y_0016.png,Y,5,2,0.5678,False,3
lvl1_Scanned_Documents_(107)_8_1_Y_0012.png,Y,1,4,0.5707,False,3
lvl5_Scanned_Documents_(118)_4_1_Y_0004.png,Y,5,2,0.5981,False,3
lvl5_Scanned_Documents_(118)_4_1_M_0001.png,M,5,2,0.6254,False,3
lvl1_Scanned_Documents_(107)_4_1_Y_0016.png,Y,1,4,0.6259,False,3
lvl1_Scanned_Documents_(107)_5_1_Y_0013.png,Y,1,4,0.6339,False,3
lvl5_Scanned_Documents_(118)_6_1_Y_0002.png,Y,5,2,0.6489,False,3
lvl1_Scanned_Documents_(107)_7_1_Y_0014.png,Y,1,4,0.663,False,3
lvl5_Scanned_Documents_(118)_6_1_K_0002.png,K,5,2,0.7258,False,3
lvl5_Scanned_Documents_(118)_6_1_M_0002.png,M,5,2,0.7409,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0005.png,Y,2,5,0.7635,False,3
lvl1_Scanned_Documents_(107)_7_1_Y_0008.png,Y,1,4,0.7839,False,3
lvl4_Scanned_Documents_(119)_10_1_Y_0006.png,Y,4,1,0.8187,False,3
lvl1_Scanned_Documents_(107)_7_1_Y_0013.png,Y,1,4,0.8282,False,3
lvl5_Scanned_Documents_(118)_4_1_M_0004.png,M,5,2,0.8768,False,3
lvl1_Scanned_Documents_(107)_9_1_Y_0013.png,Y,1,4,0.8866,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0004.png,Y,2,5,0.8906,False,3
lvl1_Scanned_Documents_(107)_2_1_Y_0015.png,Y,1,4,0.8996,False,3
lvl2_Scanned_Documents_(111)_11_1_Y_0003.png,Y,2,5,0.9181,False,3
lvl2_Scanned_Documents_(111)_1_1_K_0003.png,K,2,5,0.9444,False,3
lvl1_Scanned_Documents_(107)_8_1_Y_0013.png,Y,1,4,0.9706,False,3
lvl2_Scanned_Documents_(111)_17_1_K_0015.png,K,2,0,0.3551,False,2
lvl5_Scanned_Documents_(118)_4_1_Y_0011.png,Y,5,3,0.3659,False,2
lvl5_Scanned_Documents_(118)_4_1_Y_0008.png,Y,5,3,0.3661,False,2
lvl5_Scanned_Documents_(118)_1_1_Y_0013.png,Y,5,3,0.3686,False,2
lvl3_Scanned_Documents_(114)_10_1_C_0010.png,C,3,5,0.3784,False,2
lvl3_Scanned_Documents_(114)_15_1_Y_0011.png,Y,3,1,0.385,False,2
lvl1_Scanned_Documents_(108)_17_1_Y_0006.png,Y,1,3,0.4016,False,2
lvl5_Scanned_Documents_(118)_1_1_Y_0017.png,Y,5,3,0.4091,False,2
lvl1_Scanned_Documents_(108)_14_1_M_0009.png,M,1,3,0.4195,False,2
lvl2_Scanned_Documents_(111)_17_1_Y_0009.png,Y,2,4,0.4204,False,2
lvl5_Scanned_Documents_(118)_1_1_Y_0015.png,Y,5,3,0.4356,False,2
lvl2_Scanned_Documents_(110)_1_1_C_0012.png,C,2,4,0.4426,False,2
lvl2_Scanned_Documents_(111)_1_1_Y_0009.png,Y,2,4,0.4433,False,2
lvl3_Scanned_Documents_(114)_12_1_Y_0009.png,Y,3,5,0.4469,False,2
lvl3_Scanned_Documents_(114)_18_1_M_0006.png,M,3,1,0.4519,False,2
lvl5_Scanned_Documents_(118)_1_1_Y_0014.png,Y,5,3,0.4527,False,2
lvl1_Scanned_Documents_(108)_17_1_Y_0005.png,Y,1,3,0.4632,False,2
lvl2_Scanned_Documents_(111)_19_1_C_0010.png,C,2,4,0.4673,False,2
lvl5_Scanned_Documents_(118)_3_1_Y_0008.png,Y,5,3,0.4771,False,2
lvl5_Scanned_Documents_(118)_5_1_Y_0011.png,Y,5,3,0.4805,False,2
lvl2_Scanned_Documents_(110)_9_1_K_0001.png,K,2,4,0.4811,False,2
lvl3_Scanned_Documents_(114)_16_1_M_0004.png,M,3,1,0.485,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0016.png,M,3,1,0.488,False,2
lvl3_Scanned_Documents_(114)_15_1_M_0013.png,M,3,1,0.489,False,2
lvl2_Scanned_Documents_(110)_8_1_C_0010.png,C,2,4,0.4903,False,2
lvl0_Scanned_Documents_(106)_7_1_K_0017.png,K,0,2,0.4944,False,2
lvl3_Scanned_Documents_(114)_11_1_Y_0004.png,Y,3,1,0.5018,False,2
lvl4_Scanned_Documents_(117)_5_1_K_0001.png,K,4,2,0.505,False,2
lvl5_Scanned_Documents_(118)_1_1_Y_0011.png,Y,5,3,0.5179,False,2
lvl3_Scanned_Documents_(114)_16_1_Y_0008.png,Y,3,1,0.5285,False,2
lvl5_Scanned_Documents_(118)_5_1_K_0004.png,K,5,3,0.5309,False,2
lvl1_Scanned_Documents_(108)_14_1_M_0003.png,M,1,3,0.5322,False,2
lvl2_Scanned_Documents_(111)_1_1_K_0006.png,K,2,4,0.5328,False,2
lvl3_Scanned_Documents_(114)_10_1_K_0014.png,K,3,1,0.5411,False,2
lvl1_Scanned_Documents_(108)_13_1_M_0005.png,M,1,3,0.5465,False,2
lvl3_Scanned_Documents_(114)_18_1_M_0015.png,M,3,1,0.5505,False,2
